	product_id	onsale_web	price	stock_quantity	stock_status	product_id_zscore	onsale_web_zscore	price_zscore	stock_quantity_zscore	id_web	virtual	downloadable	rating_count	average_rating	total_sales	tax_status	tax_class	post_author	post_date	post_date_gmt	post_content	post_title	post_excerpt	post_status	comment_status	ping_status	post_password	post_name	post_modified	post_modified_gmt	post_content_filtered	post_parent	guid	menu_order	post_type	post_mime_type	comment_count
0	3847	1	24.2	0	outofstock	-1.4583763992400538	0.3881077364118916	-0.3067870701547841	-0.5777215950476673	15298	0	0	0	0.0	6.0	taxable		2.0	2018-02-08 12:58:52	2018-02-08 11:58:52		Pierre Jean Villa Saint-Joseph Préface 2018	Il exhale un nez subtil, racé avec du poivre fin et de la tourbe. La bouche est une caresse grâce à des tanins élégants. De la haute couture.	publish	closed	closed		pierre-jean-villa-saint-joseph-preface-2018	2019-12-30 09:30:29	2019-12-30 08:30:29		0.0	https://www.wine-spirit.fr/?post_type=product&#038;p=3847	0.0	product		0.0
1	3847	1	24.2	0	outofstock	-1.4583763992400538	0.3881077364118916	-0.3067870701547841	-0.5777215950476673	15298	0	0	0	0.0	6.0			2.0	2018-02-08 12:58:52	2018-02-08 11:58:52		Pierre Jean Villa Saint-Joseph Préface 2018		publish	closed	closed		pierre-jean-villa-saint-joseph-preface-2018	2019-12-30 09:30:29	2019-12-30 08:30:29		0.0	https://www.wine-spirit.fr/wp-content/uploads/2020/03/pierre-jean-villa-saint-joseph-preface-2018.jpg	0.0	attachment	image/jpeg	0.0
2	3849	1	34.3	0	outofstock	-1.456159343772465	0.3881077364118916	0.07036562641269734	-0.5777215950476673	15296	0	0	0	0.0	0.0	taxable		2.0	2018-02-08 13:49:41	2018-02-08 12:49:41		Pierre Jean Villa Saint-Joseph Rouge Tildé 2017	Les vieilles vignes lui apportent une rare profondeur. L’attaque affiche de l’élégance. La bouche est portée par un minéral saisissant et des tanins de belle qualité. Grande bouteille !	publish	closed	closed		pierre-jean-villa-saint-joseph-tilde-2017	2019-12-21 09:00:17	2019-12-21 08:00:17		0.0	https://www.wine-spirit.fr/?post_type=product&#038;p=3849	0.0	product		0.0
3	3849	1	34.3	0	outofstock	-1.456159343772465	0.3881077364118916	0.07036562641269734	-0.5777215950476673	15296	0	0	0	0.0	0.0			2.0	2018-02-08 13:49:41	2018-02-08 12:49:41		Pierre Jean Villa Saint-Joseph Rouge Tildé 2017		publish	closed	closed		pierre-jean-villa-saint-joseph-tilde-2017	2019-12-21 09:00:17	2019-12-21 08:00:17		0.0	https://www.wine-spirit.fr/wp-content/uploads/2020/03/pierre-jean-villa-saint-joseph-tilde-2017.jpg	0.0	attachment	image/jpeg	0.0
4	3850	1	20.8	0	outofstock	-1.4550508160386704	0.3881077364118916	-0.4337493640487877	-0.5777215950476673	15300	0	0	0	0.0	0.0	taxable		2.0	2018-02-08 14:08:36	2018-02-08 13:08:36		Pierre Jean Villa Crozes-Hermitage Accroche Coeur 2018	Dentelle de fruit de jeunes syrah, aux tanins légers et épicés. Hyper digeste. Un délice.	publish	closed	closed		pierre-jean-villa-croze-hermitage-accroche-coeur-2018	2020-06-26 18:15:03	2020-06-26 16:15:03		0.0	https://www.wine-spirit.fr/?post_type=product&#038;p=3850	0.0	product		0.0
5	3850	1	20.8	0	outofstock	-1.4550508160386704	0.3881077364118916	-0.4337493640487877	-0.5777215950476673	15300	0	0	0	0.0	0.0			2.0	2018-02-08 14:08:36	2018-02-08 13:08:36		Pierre Jean Villa Crozes-Hermitage Accroche Coeur 2018		publish	closed	closed		pierre-jean-villa-croze-hermitage-accroche-coeur-2018	2020-06-26 18:15:03	2020-06-26 16:15:03		0.0	https://www.wine-spirit.fr/wp-content/uploads/2020/03/pierre-jean-villa-croze-hermitage-accroche-coeur-2018.jpg	0.0	attachment	image/jpeg	0.0
6	4032	1	14.1	0	outofstock	-1.2532987684880756	0.3881077364118916	-0.6839397667222655	-0.5777215950476673	19814	0	0	0	0.0	3.0	taxable		2.0	2018-02-09 14:01:05	2018-02-09 13:01:05		Pierre Jean Villa IGP Collines Rhodaniennes Gamine 2018	Gamine représente tout le fruité et la gourmandise de la syrah. Une touche épicée et des tanins fondus lui apportent une belle complexité.	publish	closed	closed		pierre-jean-villa-igp-gamine-2018	2020-01-04 16:36:01	2020-01-04 15:36:01		0.0	https://www.wine-spirit.fr/?post_type=product&#038;p=4032	0.0	product		0.0
7	4032	1	14.1	0	outofstock	-1.2532987684880756	0.3881077364118916	-0.6839397667222655	-0.5777215950476673	19814	0	0	0	0.0	3.0			2.0	2018-02-09 14:01:05	2018-02-09 13:01:05		Pierre Jean Villa IGP Collines Rhodaniennes Gamine 2018		publish	closed	closed		pierre-jean-villa-igp-gamine-2018	2020-01-04 16:36:01	2020-01-04 15:36:01		0.0	https://www.wine-spirit.fr/wp-content/uploads/2020/03/pierre-jean-villa-igp-gamine-2018.jpg	0.0	attachment	image/jpeg	0.0
8	4039	1	46.0	0	outofstock	-1.2455390743515142	0.3881077364118916	0.5072652848126513	-0.5777215950476673	19815	0	0	0	0.0	0.0	taxable		2.0	2018-02-12 09:04:37	2018-02-12 08:04:37		Pierre Jean Villa Côte Rôtie Carmina 2017	Le côte rôtie Carmina monte en puissance mais garde un milieu de bouche pulpeux aux tanins aboutis. En référence à Carmina Burana, ce Côte Rôtie associe puissance, pureté, complexité et sensualité.	publish	closed	closed		pierre-jean-villa-cote-rotie-carmina-2017	2020-01-04 16:36:10	2020-01-04 15:36:10		0.0	https://www.wine-spirit.fr/?post_type=product&#038;p=4039	0.0	product		0.0
9	4039	1	46.0	0	outofstock	-1.2455390743515142	0.3881077364118916	0.5072652848126513	-0.5777215950476673	19815	0	0	0	0.0	0.0			2.0	2018-02-12 09:04:37	2018-02-12 08:04:37		Pierre Jean Villa Côte Rôtie Carmina 2017		publish	closed	closed		pierre-jean-villa-cote-rotie-carmina-2017	2020-01-04 16:36:10	2020-01-04 15:36:10		0.0	https://www.wine-spirit.fr/wp-content/uploads/2020/03/pierre-jean-villa-cote-rotie-carmina-2017.jpg	0.0	attachment	image/jpeg	0.0
